running with 64 cores
"Rank 3", "Program", 1194.189, 471.117
	"Rank 3", "Setup", 1162.968, 440.739
		"Rank 3", "MPI Init", 1086.540, 369.365
		"Rank 3", "Read input", 0.014, 0.014
		"Rank 3", "Broadcast input", 76.383, 71.330
	"Rank 3", "Computation", 2.730, 2.730
	"Rank 3", "Gather", 0.071, 0.071
	"Rank 3", "Free memory", 1.136, 1.137
	"Rank 3", "Finalize", 27.251, 26.411
"Rank 32", "Program", 1093.621, 518.630
	"Rank 32", "Setup", 1064.119, 492.920
		"Rank 32", "MPI Init", 960.609, 388.064
		"Rank 32", "Read input", 0.010, 0.010
		"Rank 32", "Broadcast input", 103.469, 104.818
	"Rank 32", "Computation", 2.851, 2.851
	"Rank 32", "Gather", 11.926, 10.382
	"Rank 32", "Free memory", 0.401, 0.401
	"Rank 32", "Finalize", 14.300, 12.055
"Rank 5", "Program", 1189.930, 443.551
	"Rank 44", "Program", 1093.657, 548.077
	"Rank 44", "Setup", 1062.982, 519.201
		"Rank 44", "MPI Init", 960.833, 417.068
		"Rank 44", "Read input", 0.014, 0.014
		"Rank 44", "Broadcast input", 102.106, 102.093
	"Rank 44", "Computation", 2.708, 2.709
	"Rank 44", "Gather", 2.181, 2.181
	"Rank 44", "Free memory", 0.708, 0.709
	"Rank 44", "Finalize", 25.040, 23.242
"Rank 5", "Setup", 1158.457, 412.966
		"Rank 5", "MPI Init", 1082.217, 339.253
		"Rank 5", "Read input", 0.013, 0.013
		"Rank 5", "Broadcast input", 76.190, 73.665
	"Rank 15", "Program", 1190.078, 497.396
	"Rank 15", "Setup", 1159.287, 469.822
		"Rank 15", "MPI Init", 1082.331, 395.456
		"Rank 15", "Read input", 0.020, 0.020
		"Rank 15", "Broadcast input", 76.909, 74.319
	"Rank 5", "Computation", 2.697, 2.697
	"Rank 5", "Gather", 0.074, 0.074
	"Rank 5", "Free memory", 0.819, 0.819
	"Rank 5", "Finalize", 27.852, 26.966
"Rank 15", "Computation", 2.709, 2.710
	"Rank 15", "Gather", 0.099, 0.099
	"Rank 15", "Free memory", 1.397, 1.397
	"Rank 15", "Finalize", 26.554, 23.339
"Rank 12", "Program", 1189.948, 514.062
	"Rank 12", "Setup", 1158.623, 483.553
		"Rank 12", "MPI Init", 1082.084, 409.460
		"Rank 12", "Read input", 0.014, 0.014
		"Rank 12", "Broadcast input", 76.496, 74.052
	"Rank 12", "Computation", 2.688, 2.689
	"Rank 12", "Gather", 1.523, 1.523
	"Rank 12", "Free memory", 0.820, 0.821
	"Rank 12", "Finalize", 26.257, 25.442
"Rank 8", "Program", 1190.283, 459.778
	"Rank 8", "Setup", 1157.676, 428.002
		"Rank 8", "MPI Init", 1081.768, 354.441
		"Rank 8", "Read input", 0.012, 0.012
		"Rank 8", "Broadcast input", 75.826, 73.484
	"Rank 8", "Computation", 2.713, 2.713
	"Rank 8", "Gather", 3.495, 3.495
